"Source:","C:\Users\Axel\Desktop\AxxSolder\PCB\AxxSolder\AxxSolder.kicad_sch"
"Date:","2023-08-26 20:59:03"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","part_id"
"","","R22","470k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"","","R23","220k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"","","R24","220k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"","","R25","4k7","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"","","R26","4k7","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"","","TP1","AmbTemp_TP","Connector:TestPoint","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~","","","","","","","","",""
"","","TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","","","","",""
"","","TP3","GND_TP","Connector:TestPoint","testpin black 1mm:testpin black 1mm","~","","","","","","","","",""
"","","TP5","Thermocouple_TP","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","","","","",""
"","","TP6","Current_TP","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","","","","",""
"","","TP7","5V_TP","Connector:TestPoint","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~","","","","","","","","",""
"","","TP8","VDD_TP","Connector:TestPoint","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~","","","","","","","","",""
"","","TP9","3.3V_TP","Connector:TestPoint","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~","","","","","","","","",""
"","","U1","PEC11L-4220F-S0015","PEC11L-4220F-S0015:PEC11L-4220F-S0015","PEC11L4220FS0015","https://www.bourns.com/PDFs/pec11l.pdf","","","BOURNS - PEC11L-4220F-S0015 - INCREMENTAL ENCODER, 15 PULSES","25","Bourns","PEC11L-4220F-S0015","652-PEC11L4220FS0015","https://www.mouser.co.uk/ProductDetail/Bourns/PEC11L-4220F-S0015?qs=Q4nXA9D1WFOSxqK3IduBbA%3D%3D",""
"","","U2","BSC014N04LS","BSC014N04LS:BSC014N04LS","BSC014N04LS:BSC014N04LS","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","part_id"
"1","5","C1, C6, C12, C14, C19","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"2","12","C2, C3, C5, C7, C8, C9, C10, C11, C13, C20, C21, C22","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"3","3","C4, C17, C18","22u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","",""
"4","2","C15, C16","1n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
